From;2

length of number;time
1000;1483236
1250;2312359
1500;4045387
1750;4719670
2000;5887641
2250;7543094
2500;9227404
2750;11147233
3000;13265654
3250;17727465
3500;33170187
3750;23992121
4000;27975137
4250;26802202
4500;35937758
4750;35238650
5000;41238931
5250;45029872
5500;48156149
5750;54255104
6000;59011699
6250;72197297
6500;65983219
6750;81733760
7000;92719017
7250;81066614
7500;84342146
7750;88203215
8000;93682500
8250;103124943
8500;106773766
8750;115060340
9000;119994117
9250;123908247
9500;131845112
9750;141521211
10000;145881863
10250;158910448
10500;161359650
10750;170501101
11000;177581227
11250;183719280
11500;198317054
11750;199839698
12000;208954774
12250;218887492
12500;225921383
12750;234981536
13000;244968246
13250;253038850
13500;265441870
13750;273832704
14000;282468055
14250;294729268
14500;302994741
14750;313882563
15000;325839370
15250;337353379
15500;347452418
15750;357932506
16000;368392423
16250;381232036
16500;395903972
16750;403646279
17000;415925489
17250;430012198
17500;445016777
17750;453470602
18000;468346406
18250;481190672
18500;495280796
18750;506533532
19000;522051657
19250;536530587
19500;549202946
19750;563859058
20000;579024992


From;10

length of number;time
1000;4931295
1250;7629978
1500;11085484
1750;15102323
2000;19349096
2250;24621100
2500;30558079
2750;38710913
3000;43305842
3250;51725224
3500;60076340
3750;68898492
4000;76354702
4250;88432526
4500;99342690
4750;111079805
5000;122574886
5250;134546898
5500;146989015
5750;160035598
6000;176096128
6250;189812650
6500;204874014
6750;220421618
7000;238523615
7250;256749423
7500;272795059
7750;292633188
8000;309972157
8250;330125241
8500;349596905
8750;374277581
9000;394246968
9250;418222021
9500;442222521
9750;463665834
10000;486588039
10250;516147571
10500;535505974
10750;561794319
11000;587483162
11250;618502037
11500;645568615
11750;671355514
12000;699029659
12250;730056602
12500;760523762
12750;786743840
13000;823193593
13250;855182778
13500;887525704
13750;920860041
14000;953188384
14250;989220783
14500;1026141882
14750;1066876575
15000;1094762656
15250;1130699172
15500;1175763176
15750;1208609720
16000;1257753555
16250;1295486090
16500;1319089094
16750;1362035608
17000;1401746309
17250;1449613567
17500;1488200049
17750;1549375163
18000;1663088178
18250;2381246309
18500;2013016794
18750;1962562250
19000;1975806804
19250;1938688354
19500;2097717647
19750;1936581724
20000;2180435680


From;16

length of number;time
1000;7784197
1250;11535110
1500;16745054
1750;22141799
2000;52069657
2250;34258411
2500;44976190
2750;59566827
3000;65969256
3250;76123838
3500;84040844
3750;96731202
4000;118128901
4250;139555458
4500;154255321
4750;154042144
5000;166181408
5250;180600139
5500;192168140
5750;224622466
6000;248119967
6250;272598639
6500;307340808
6750;319820783
7000;332397261
7250;384119692
7500;489012726
7750;372945772
8000;437962095
8250;494007943
8500;497802918
8750;540054358
9000;582373445
9250;634643246
9500;831303606
9750;765348624
10000;713830681
10250;714521099
10500;721801679
10750;703652516
11000;734864397
11250;765312629
11500;787275696
11750;830403735
12000;842981144
12250;888559005
12500;907803219
12750;945229177
13000;992971695
13250;1042042919
13500;1071497879
13750;1118490711
14000;1160597862
14250;1202429467
14500;1269914851
14750;1390246574
15000;1372811412
15250;1379586823
15500;1406755490
15750;1453526456
16000;1496910494
16250;1558886182
16500;1600818014
16750;1628295740
17000;1689050397
17250;1729830082
17500;1791401140
17750;1839047465
18000;1889606269
18250;1948398896
18500;2001622250
18750;2061362535
19000;2132901374
19250;2224280515
19500;2294591804
19750;2316865171
20000;2468871434


From;32

length of number;time
1000;2531121
1250;3136827
1500;3939265
1750;4480118
2000;5393643
2250;6364883
2500;7156769
2750;8608355
3000;8897556
3250;8902830
3500;9468509
3750;10073904
4000;10773322
4250;11484531
4500;12118784
4750;12465390
5000;13344781
5250;13749413
5500;14378703
5750;15067259
6000;16046567
6250;16612866
6500;17419336
6750;18670468
7000;18743699
7250;19112025
7500;20307613
7750;21061333
8000;22295088
